"","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"80","Hawaii",45096,"(10,15]",10.508737992648,-156.0511061,19.7584515175097,-156.049782468723,19.756831975,9098,17.125,10.4353166379048,4,39.375,5.15388203202208,4,33.125,6.88446318410763,4,27.5,3.53553390593274,4,60.625,5.15388203202208,4
"81","Hawaii",45096,"(5,10]",8.524131374112,-156.051338766667,19.7584515175097,-156.049782468723,19.7605153533333,6153.1,25.8333333333333,6.29152869605896,3,57.5,11.4564392373896,3,16.6666666666667,7.21687836487032,3,25.8333333333333,7.63762615825973,3,42.5,11.4564392373896,3
"82","Hawaii",45330,"(5,10]",9.485050254912,-156.0546375,19.7494263035019,-156.058796467447,19.74853696,1877.8,32.5,NA,1,37.5,NA,1,25,NA,1,37.5,NA,1,62.5,NA,1
"83","Hawaii",45331,"(10,15]",11.297672443224,-156.0519513,19.7494263035019,-156.049782468723,19.75039263,1981,25,NA,1,30,NA,1,32.5,NA,1,37.5,NA,1,70,NA,1
"84","Hawaii",45331,"(5,10]",9.721426492344,-156.051987833333,19.7494263035019,-156.049782468723,19.7515451833333,5867.9,25.8333333333333,18.0854453451756,3,43.3333333333333,3.81881307912987,3,35,5,3,21.6666666666667,8.77971146071062,3,56.6666666666667,3.81881307912987,3
"85","Hawaii",45565,"(10,15]",11.5824,-156.05568,19.7404010894942,-156.058796467447,19.74012,13.1,NA,NA,1,43.22,NA,1,20.6,NA,1,36.18,NA,1,56.78,NA,1
"86","Hawaii",45566,"(5,10]",7.62,-156.05386,19.7404010894942,-156.049782468723,19.73598,6.5,NA,NA,1,59.21,NA,1,21.05,NA,1,19.74,NA,1,40.79,NA,1
"87","Hawaii",45800,"(10,15]",10.668,-156.05896,19.7313758754864,-156.058796467447,19.73266,4.8,NA,NA,1,59.65,NA,1,16.67,NA,1,23.68,NA,1,40.35,NA,1
"88","Hawaii",47448,"(10,15]",12.192,-156.030145175,19.6681993774319,-156.031754471277,19.6710988825,60,NA,NA,4,47.0875673075,13.1205024660912,4,33.6173582125,7.28607663516505,4,24.47007448,6.60543249255155,4,58.0875,11.9214355259759,4
"89","Hawaii",47448,"(5,10]",6.096,-156.0303344,19.6681993774319,-156.031754471277,19.67098346,30,NA,NA,1,38.88907248,NA,1,26.05878681,NA,1,35.05214071,NA,1,61.11,NA,1
"90","Hawaii",48392,"(10,15]",10.9728,-155.993,19.6320985214008,-155.995698476383,19.6312,30,NA,NA,3,33.6333333333333,18.5995519659301,3,28.6666666666667,12.1079863451085,3,39.5,10.4455732250557,3,68.1666666666667,19.5985543684562,3
"91","Hawaii",50040,"(10,15]",12.192,-155.96935,19.5689220233463,-155.968656480213,19.56838,30,NA,NA,3,54.8666666666667,4.31895048979881,3,23.2333333333333,5.85348898805946,3,22.9,0.953939201416945,3,46.1333333333333,4.91663841799794,3
"92","Hawaii",50040,"(5,10]",6.096,-155.9693345,19.5689220233463,-155.968656480213,19.56838343,30,NA,NA,1,38.30683023,NA,1,32.47554142,NA,1,29.21762835,NA,1,61.69,NA,1
"93","Hawaii",52394,"(5,10]",7.9248,-155.93278,19.4786698832685,-155.932600485319,19.4793,30,NA,NA,3,50.8,4.4977772288098,3,27,8.1504601097116,3,23.8,6.2745517768204,3,50.8,5.33572862878164,3
"94","Hawaii",55218,"(10,15]",10.9728,-155.8974,19.3703673151751,-155.896544490426,19.36915,30,NA,NA,3,49.1666666666667,5.78734251045619,3,29.8333333333333,3.75410886008029,3,21.0333333333333,9.08973780333258,3,50.8666666666667,5.76223336331785,3
"95","Hawaii",60386,"(10,15]",14.0208,-155.91325,19.1718126070039,-155.914572487872,19.1673,30,NA,NA,3,39.5666666666667,16.676130646326,3,40.1,12.3850716590579,3,22.1666666666667,6.84202699010559,3,62.2666666666667,17.6534227087365,3
"96","Lanai",15868,"(10,15]",10.483000287456,-156.8405412,20.8775780544747,-156.843014356383,20.87505837,2603.4,92.5,NA,1,74,NA,1,20,NA,1,6,NA,1,26,NA,1
"97","Lanai",15868,"(5,10]",9.42304787244,-156.838938,20.8775780544747,-156.843014356383,20.87314579,2778.6,92.5,NA,1,67,NA,1,20,NA,1,13,NA,1,33,NA,1
"98","Lanai",16104,"(10,15]",10.337136647256,-156.8370376,20.8685528404669,-156.83400035766,20.87155338,2566,92.5,NA,1,78.5,NA,1,17.5,NA,1,4,NA,1,21.5,NA,1
"99","Lanai",16104,"(5,10]",8.456997590676,-156.83278845,20.8685528404669,-156.83400035766,20.8670325775,10976.6,90,5,4,60,7.90569415042095,4,30,5.40061724867322,4,10,2.88675134594813,4,40,7.90569415042095,4
"100","Lanai",16340,"(5,10]",7.661483152752,-156.8246487,20.8595276264591,-156.824986358936,20.8583701325,6140.5,81.6666666666667,3.81881307912987,4,76.5025,22.6770079963532,4,16.365,17.47129741414,4,7.1325,5.53415681623377,4,23.4975,22.6770079963532,4
"101","Lanai",16340,"[0,5]",4.5981316771812,-156.8268538,20.8595276264591,-156.824986358936,20.85901106,5341.3,63.75,5.30330085889911,2,35,7.07106781186548,2,41.25,1.76776695296637,2,23.75,5.30330085889911,2,65,7.07106781186548,2
"102","Lanai",16575,"(5,10]",5.987087099976,-156.8205166,20.8505024124514,-156.824986358936,20.85407488,1756.1,85,NA,1,81,NA,1,12.5,NA,1,6.5,NA,1,19,NA,1
"103","Lanai",16576,"(10,15]",10.228700279928,-156.817059566667,20.8505024124514,-156.815972360213,20.8501850133333,3696.3,85,10.6066017177982,3,85.7133333333333,7.5747299181775,3,3.12,0.336452076825214,3,11.1666666666667,7.75134396948899,3,14.2866666666667,7.5747299181775,3
"104","Lanai",16576,"(5,10]",8.721377280864,-156.81693552,20.8505024124514,-156.815972360213,20.849557604,10613.5,90,4.33012701892219,5,87.3,3.4928498393146,5,5.7,2.46475150877325,5,7,1.62018517460197,5,12.7,3.4928498393146,5
"105","Lanai",17517,"(10,15]",14.0208,-156.80301,20.8144015564202,-156.806958361489,20.81291,0,NA,NA,1,63.93,NA,1,6.56,NA,1,29.51,NA,1,36.07,NA,1
"106","Lanai",17752,"(10,15]",11.8872,-156.80415,20.8053763424125,-156.806958361489,20.80447,0,NA,NA,1,68.82,NA,1,6.08,NA,1,25.1,NA,1,31.18,NA,1
"107","Lanai",17752,"(5,10]",9.225653934996,-156.80512295,20.8053763424125,-156.806958361489,20.80373335,4066.6,66.25,8.83883476483184,2,85.5,0.707106781186548,2,10,0,2,4.5,0.707106781186548,2,14.5,0.707106781186548,2
"108","Lanai",17987,"(10,15]",10.104442898268,-156.8084992,20.7963511284047,-156.806958361489,20.796524055,3501.4,67.5,14.142135623731,2,70,10.6066017177982,2,13.75,5.30330085889911,2,16.25,5.30330085889911,2,30,10.6066017177982,2
"109","Lanai",17987,"(5,10]",9.661959277776,-156.808639675,20.7963511284047,-156.806958361489,20.796553625,8029,61.25,9.24211375534118,4,78.75,1.44337567297406,4,10,2.04124145231932,4,11.25,1.44337567297406,4,21.25,1.44337567297406,4
"110","Lanai",18221,"(5,10]",9.735033050856,-156.811779,20.7873259143969,-156.815972360213,20.79114614,2412.7,70,NA,1,65,NA,1,15,NA,1,20,NA,1,35,NA,1
"111","Lanai",18455,"(10,15]",10.119885521688,-156.8208872,20.7783007003891,-156.824986358936,20.78019019,2189.6,22.5,NA,1,57.5,NA,1,27.5,NA,1,15,NA,1,42.5,NA,1
"112","Lanai",18455,"(5,10]",9.19822975464,-156.822911566667,20.7783007003891,-156.824986358936,20.7768864233333,6451.7,46.6666666666667,12.5830573921179,3,64.1666666666667,3.81881307912987,3,25.8333333333333,1.44337567297406,3,10,2.5,3,35.8333333333333,3.81881307912987,3
"113","Lanai",18456,"(5,10]",8.837166902472,-156.8197491,20.7783007003891,-156.815972360213,20.78166144,1900.4,45,NA,1,75,NA,1,15,NA,1,10,NA,1,25,NA,1
"114","Lanai",18689,"(5,10]",9.59411501316,-156.8295967,20.7692754863813,-156.83400035766,20.76516068,2080.9,45,NA,1,67.5,NA,1,12.5,NA,1,20,NA,1,32.5,NA,1
"115","Lanai",18690,"(10,15]",10.365893727156,-156.82688535,20.7692754863813,-156.824986358936,20.768586175,4241.3,41.25,1.76776695296637,2,87.5,0,2,6.25,1.76776695296637,2,6.25,1.76776695296637,2,12.5,0,2
"116","Lanai",18690,"(5,10]",9.440918287296,-156.826524428571,20.7692754863813,-156.824986358936,20.7699152357143,14351.2,45.7142857142857,14.1946502330313,7,80.3571428571429,6.59364773673803,7,8.64285714285714,3.77176225075103,7,11,3.36650164612069,7,19.6428571428571,6.59364773673803,7
"117","Lanai",18923,"(10,15]",11.5824,-156.84244,20.7602502723735,-156.843014356383,20.75623,16.85,NA,NA,1,65.42,NA,1,11.21,NA,1,23.36,NA,1,34.58,NA,1
"118","Lanai",18924,"(10,15]",10.665926522568,-156.83249,20.7602502723735,-156.83400035766,20.76260172,4335.3,26.25,5.30330085889911,2,73.75,1.76776695296637,2,7.5,3.53553390593274,2,18.75,5.30330085889911,2,26.25,1.76776695296637,2
"119","Lanai",18924,"(5,10]",9.249180576792,-156.835105233333,20.7602502723735,-156.83400035766,20.7606663733333,7156.5,30.8333333333333,5.20416499866533,3,70.8333333333333,2.88675134594813,3,18.3333333333333,11.8145390656315,3,10.8333333333333,10.1036297108185,3,29.1666666666667,2.88675134594813,3
"120","Lanai",19155,"(5,10]",9.010319911512,-156.867820575,20.7512250583658,-156.870056352553,20.74869714,7820.9,55.625,15.0519932234904,4,63.75,3.22748612183951,4,22.5,6.12372435695795,4,13.75,5.95119035711904,4,36.25,3.22748612183951,4
"121","Lanai",19156,"(5,10]",8.83689053574,-156.8622966,20.7512250583658,-156.86104235383,20.751929745,6652.6,0.325,0.320156211871642,4,55,31.091263510296,4,8.75,10.3077640640442,4,36.25,29.2617497767991,4,45,31.091263510296,4
"122","Lanai",19389,"(10,15]",10.3632,-156.87962,20.742199844358,-156.879070351277,20.74078,15,NA,NA,1,34.16,NA,1,15.64,NA,1,50.21,NA,1,65.84,NA,1
"123","Lanai",19390,"(5,10]",9.630819932892,-156.8723457,20.742199844358,-156.870056352553,20.74532084,4145.7,1,1.4142135623731,2,77.5,31.8198051533946,2,15,21.2132034355964,2,7.5,10.6066017177982,2,22.5,31.8198051533946,2
"124","Lanai",19615,"(10,15]",10.978434730164,-156.95850315,20.7331746303502,-156.960196339787,20.731644815,5183.1,27.5,7.07106781186548,2,63.75,1.76776695296637,2,22.5,3.53553390593274,2,13.75,1.76776695296637,2,36.25,1.76776695296637,2
"125","Lanai",19616,"(10,15]",11.278819984104,-156.948811966667,20.7331746303502,-156.951182341064,20.7339206333333,7008.8,26.6666666666667,5.20416499866533,3,66.6666666666667,2.88675134594813,3,20,2.5,3,13.3333333333333,3.81881307912987,3,33.3333333333333,2.88675134594813,3
"126","Lanai",19616,"(5,10]",8.544073996152,-156.951339125,20.7331746303502,-156.951182341064,20.73361041,9421.9,35,12.4163870214594,4,66.25,4.78713553878169,4,17.5,2.88675134594813,4,16.25,2.5,4,33.75,4.78713553878169,4
"127","Lanai",19617,"(10,15]",10.331065857264,-156.942686266667,20.7331746303502,-156.94216834234,20.7347165366667,6938.4,25,2.5,3,60,8.66025403784439,3,20.8333333333333,5.20416499866533,3,19.1666666666667,3.81881307912987,3,40,8.66025403784439,3
