"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","optional"
"28",28,"Hawaii",38775,"(10,15]",13.716,-155.8309239,20.0021322957198,-155.833446499362,19.99986654,30,NA,NA,1,50.52872566,NA,1,11.34567187,NA,1,38.12560247,NA,1,49.47,NA,1,9.13999979570508,12.5834693908691,1.65539076459277,14.5735600649656,1.12924271291901,TRUE
"29",29,"Hawaii",38775,"(5,10]",6.096,-155.8289395,20.0021322957198,-155.833446499362,20.00066668,30,NA,NA,1,44.32562879,NA,1,24.09248305,NA,1,31.58188816,NA,1,55.67,NA,1,9.13999979570508,12.5834693908691,1.65539076459277,14.5735600649656,0.699668846546591,TRUE
"30",30,"Hawaii",39010,"(10,15]",10.114549456668,-155.830058,19.9931070817121,-155.833446499362,19.995941825,4892.8,17.5,7.07106781186548,2,46.25,1.76776695296637,2,20,0,2,33.75,1.76776695296637,2,53.75,1.76776695296637,2,8.28999981470406,12.2665491104126,1.64836883754521,14.5744610880757,0.281870024605113,TRUE
"31",31,"Hawaii",39010,"(5,10]",8.804000233728,-155.829954466667,19.9931070817121,-155.833446499362,19.99088813,7586.8,12.1666666666667,9.43839675651185,3,46.6666666666667,5.77350269189626,3,21.6666666666667,2.88675134594813,3,31.6666666666667,7.63762615825973,3,53.3333333333333,5.77350269189626,3,8.28999981470406,12.2665491104126,1.64836883754521,14.5744610880757,0.281870024605113,TRUE
"32",32,"Hawaii",39245,"(10,15]",13.716,-155.8338009,19.9840818677043,-155.833446499362,19.98668592,30,NA,NA,1,22.12907476,NA,1,47.27942114,NA,1,30.5915041,NA,1,77.87,NA,1,8.28999981470406,12.2665491104126,1.77836609585381,14.7076630064856,1.98537223993444,TRUE
"33",33,"Hawaii",39245,"(5,10]",9.237876750276,-155.833104633333,19.9840818677043,-155.833446499362,19.98421862,12345.5,12.5,3.95284707521047,6,38.2955929285,15.5553207184319,6,26.41835335,14.5313949176511,6,35.2860537216667,3.60429748911991,6,61.705,15.5567396969931,6,8.28999981470406,12.2665491104126,1.77836609585381,14.7076630064856,5.88667595550216,TRUE
"34",34,"Hawaii",39713,"(10,15]",10.0584,-155.8488447,19.9660314396887,-155.851474496808,19.9700090275,60,NA,NA,4,37.52729885,15.6360814222163,4,25.2742474,8.15965528922395,4,37.19845375,7.96183416244165,4,62.4725,15.6357397756976,4,8.28999981470406,12.2665491104126,1.77790118486453,14.8775014954172,0.801702914845678,TRUE
"35",35,"Hawaii",39713,"(5,10]",6.096,-155.8487844,19.9660314396887,-155.851474496808,19.96988347,30,NA,NA,1,16.05417529,NA,1,48.87853692,NA,1,35.06728778,NA,1,83.95,NA,1,8.28999981470406,12.2665491104126,1.77790118486453,14.8775014954172,0.801702914845678,TRUE
"36",36,"Hawaii",39946,"(10,15]",13.716,-155.8663579,19.9570062256809,-155.869502494255,19.95298522,30,NA,NA,1,9.135293627,NA,1,59.94862752,NA,1,30.91607886,NA,1,90.86,NA,1,8.28999981470406,12.2665491104126,1.75736233078953,14.735297480433,0.776966379187402,TRUE
"37",37,"Hawaii",39947,"(10,15]",11.019336367944,-155.86259395,19.9570062256809,-155.860488495532,19.955746615,5404.3,15,7.07106781186548,2,63.75,1.76776695296637,2,17.5,3.53553390593274,2,18.75,5.30330085889911,2,36.25,1.76776695296637,2,8.28999981470406,12.2665491104126,1.75736233078953,14.735297480433,5.41891065953177,TRUE
